county,state,stcode,ctycode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Washington County,Rhode Island,44,9,280,394,331,133,15,188,96,110,100,65,64,75,192,266,264,213,270,280,241,250
Abbeville County,South Carolina,45,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Aiken County,South Carolina,45,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,2,4
Allendale County,South Carolina,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson County,South Carolina,45,7,2,3,1,3,0,0,4,3,1,0,0,1,1,1,3,0,0,0,1,1
Bamberg County,South Carolina,45,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Barnwell County,South Carolina,45,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0
Beaufort County,South Carolina,45,13,0,2,2,1,2,1,2,1,4,2,3,2,0,1,0,0,1,1,7,5
Berkeley County,South Carolina,45,15,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,0,0,1
Calhoun County,South Carolina,45,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Charleston County,South Carolina,45,19,0,1,1,0,0,1,3,2,2,5,2,6,4,4,1,1,1,3,1,2
Cherokee County,South Carolina,45,21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chester County,South Carolina,45,23,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,3,1,0,0,0
Chesterfield County,South Carolina,45,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Clarendon County,South Carolina,45,27,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
Colleton County,South Carolina,45,29,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
Darlington County,South Carolina,45,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
Dillon County,South Carolina,45,33,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
Dorchester County,South Carolina,45,35,0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,1,0,2,2,2
Edgefield County,South Carolina,45,37,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairfield County,South Carolina,45,39,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Florence County,South Carolina,45,41,0,0,1,1,0,2,0,0,0,0,0,0,1,0,3,2,1,3,1,1
Georgetown County,South Carolina,45,43,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1
Greenville County,South Carolina,45,45,1,2,2,1,0,1,2,1,0,3,3,0,2,1,3,0,3,0,2,2
Greenwood County,South Carolina,45,47,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Hampton County,South Carolina,45,49,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Horry County,South Carolina,45,51,0,4,1,1,3,2,2,1,3,0,7,9,2,13,5,12,1,10,4,12
Jasper County,South Carolina,45,53,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1
Kershaw County,South Carolina,45,55,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0
Lancaster County,South Carolina,45,57,2,2,1,0,0,0,0,0,0,0,1,1,2,0,3,4,4,0,2,2
Laurens County,South Carolina,45,59,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Lee County,South Carolina,45,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lexington County,South Carolina,45,63,0,0,0,4,2,2,1,0,0,2,0,2,2,1,3,5,4,5,2,0
McCormick County,South Carolina,45,65,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Marion County,South Carolina,45,67,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Marlboro County,South Carolina,45,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Newberry County,South Carolina,45,71,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Oconee County,South Carolina,45,73,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0
Orangeburg County,South Carolina,45,75,0,2,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1
Pickens County,South Carolina,45,77,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
Richland County,South Carolina,45,79,0,4,2,4,0,1,2,0,2,2,3,3,5,3,3,7,3,5,1,1
Saluda County,South Carolina,45,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spartanburg County,South Carolina,45,83,0,0,1,0,0,0,1,0,0,0,0,0,3,0,2,0,0,3,2,1
Sumter County,South Carolina,45,85,0,0,0,0,0,2,2,0,0,0,1,0,2,1,4,0,0,1,1,1
Union County,South Carolina,45,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg County,South Carolina,45,89,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1
York County,South Carolina,45,91,0,2,2,0,0,1,0,6,6,2,7,6,5,2,4,7,1,3,6,3
Aurora County,South Dakota,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beadle County,South Dakota,46,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Bennett County,South Dakota,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bon Homme County,South Dakota,46,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookings County,South Dakota,46,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1
Brown County,South Dakota,46,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
Brule County,South Dakota,46,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Buffalo County,South Dakota,46,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butte County,South Dakota,46,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell County,South Dakota,46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Mix County,South Dakota,46,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Clark County,South Dakota,46,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,South Dakota,46,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Codington County,South Dakota,46,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corson County,South Dakota,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custer County,South Dakota,46,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Davison County,South Dakota,46,35,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Day County,South Dakota,46,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Deuel County,South Dakota,46,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewey County,South Dakota,46,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Douglas County,South Dakota,46,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmunds County,South Dakota,46,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fall River County,South Dakota,46,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faulk County,South Dakota,46,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County,South Dakota,46,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
Gregory County,South Dakota,46,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Haakon County,South Dakota,46,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamlin County,South Dakota,46,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hand County,South Dakota,46,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanson County,South Dakota,46,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harding County,South Dakota,46,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County,South Dakota,46,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Hutchinson County,South Dakota,46,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyde County,South Dakota,46,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County,South Dakota,46,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerauld County,South Dakota,46,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jones County,South Dakota,46,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingsbury County,South Dakota,46,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake County,South Dakota,46,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lawrence County,South Dakota,46,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County,South Dakota,46,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
Lyman County,South Dakota,46,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McCook County,South Dakota,46,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McPherson County,South Dakota,46,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall County,South Dakota,46,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meade County,South Dakota,46,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mellette County,South Dakota,46,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miner County,South Dakota,46,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Minnehaha County,South Dakota,46,99,0,0,0,0,1,0,0,0,1,0,1,1,2,2,1,4,2,1,3,2
Moody County,South Dakota,46,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oglala Lakota County,South Dakota,46,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pennington County,South Dakota,46,103,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0
Perkins County,South Dakota,46,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potter County,South Dakota,46,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberts County,South Dakota,46,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
Sanborn County,South Dakota,46,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spink County,South Dakota,46,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley County,South Dakota,46,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sully County,South Dakota,46,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd County,South Dakota,46,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripp County,South Dakota,46,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner County,South Dakota,46,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union County,South Dakota,46,127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Walworth County,South Dakota,46,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yankton County,South Dakota,46,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ziebach County,South Dakota,46,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson County,Tennessee,47,1,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,1,0
Bedford County,Tennessee,47,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton County,Tennessee,47,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bledsoe County,Tennessee,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blount County,Tennessee,47,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
Bradley County,Tennessee,47,11,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Campbell County,Tennessee,47,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
Cannon County,Tennessee,47,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Carroll County,Tennessee,47,17,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Carter County,Tennessee,47,19,0,0,0,0,0,0,0,0,3,0,0,3,1,1,0,0,1,1,0,1
Cheatham County,Tennessee,47,21,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Chester County,Tennessee,47,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Claiborne County,Tennessee,47,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Clay County,Tennessee,47,27,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Cocke County,Tennessee,47,29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee County,Tennessee,47,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crockett County,Tennessee,47,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland County,Tennessee,47,35,1,1,0,1,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0
Davidson County,Tennessee,47,37,3,2,2,0,1,1,5,3,0,0,6,2,0,5,7,1,6,0,4,1
Decatur County,Tennessee,47,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DeKalb County,Tennessee,47,41,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Dickson County,Tennessee,47,43,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0
Dyer County,Tennessee,47,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette County,Tennessee,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fentress County,Tennessee,47,49,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0
Franklin County,Tennessee,47,51,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibson County,Tennessee,47,53,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Giles County,Tennessee,47,55,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Grainger County,Tennessee,47,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Greene County,Tennessee,47,59,0,0,0,0,0,0,0,0,3,2,0,1,1,1,1,0,1,1,1,1
Grundy County,Tennessee,47,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamblen County,Tennessee,47,63,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Hamilton County,Tennessee,47,65,2,3,2,0,0,0,1,5,2,0,4,1,2,0,0,0,1,0,0,0
Hancock County,Tennessee,47,67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hardeman County,Tennessee,47,69,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hardin County,Tennessee,47,71,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hawkins County,Tennessee,47,73,0,1,0,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,2,1
Haywood County,Tennessee,47,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henderson County,Tennessee,47,77,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Henry County,Tennessee,47,79,0,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0
Hickman County,Tennessee,47,81,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Houston County,Tennessee,47,83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Humphreys County,Tennessee,47,85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Jackson County,Tennessee,47,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,Tennessee,47,89,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Johnson County,Tennessee,47,91,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Knox County,Tennessee,47,93,3,2,1,5,3,3,4,0,1,0,2,0,1,0,0,0,1,4,2,1
Lake County,Tennessee,47,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauderdale County,Tennessee,47,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence County,Tennessee,47,99,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0
Lewis County,Tennessee,47,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County,Tennessee,47,103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Loudon County,Tennessee,47,105,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
McMinn County,Tennessee,47,107,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McNairy County,Tennessee,47,109,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Macon County,Tennessee,47,111,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Madison County,Tennessee,47,113,0,1,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0
Marion County,Tennessee,47,115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall County,Tennessee,47,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maury County,Tennessee,47,119,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Meigs County,Tennessee,47,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe County,Tennessee,47,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery County,Tennessee,47,125,3,4,1,0,0,0,0,1,0,1,0,0,0,0,2,1,0,3,0,1
Moore County,Tennessee,47,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan County,Tennessee,47,129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Obion County,Tennessee,47,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overton County,Tennessee,47,133,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Perry County,Tennessee,47,135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pickett County,Tennessee,47,137,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County,Tennessee,47,139,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam County,Tennessee,47,141,0,0,0,0,1,1,0,0,1,1,5,0,0,0,0,0,0,0,0,0
Rhea County,Tennessee,47,143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Roane County,Tennessee,47,145,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robertson County,Tennessee,47,147,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0
Rutherford County,Tennessee,47,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Scott County,Tennessee,47,151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Sequatchie County,Tennessee,47,153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sevier County,Tennessee,47,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0
Shelby County,Tennessee,47,157,2,0,6,1,2,0,5,5,7,3,5,0,0,0,0,1,2,4,3,1
Smith County,Tennessee,47,159,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stewart County,Tennessee,47,161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sullivan County,Tennessee,47,163,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,4,2,2,1
Sumner County,Tennessee,47,165,4,2,1,1,0,0,1,0,2,1,1,0,2,0,1,3,3,0,1,1
Tipton County,Tennessee,47,167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Trousdale County,Tennessee,47,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Unicoi County,Tennessee,47,171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Union County,Tennessee,47,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Van Buren County,Tennessee,47,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren County,Tennessee,47,177,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Washington County,Tennessee,47,179,0,0,0,1,0,0,0,2,5,1,0,3,3,2,1,1,3,2,0,0
Wayne County,Tennessee,47,181,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weakley County,Tennessee,47,183,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
White County,Tennessee,47,185,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Williamson County,Tennessee,47,187,0,1,0,1,0,0,1,3,3,2,0,1,3,3,0,0,0,1,1,0
Wilson County,Tennessee,47,189,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,1,0
Anderson County,Texas,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrews County,Texas,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelina County,Texas,48,5,1,0,0,1,0,0,2,1,0,2,2,3,1,0,0,0,0,0,0,0
Aransas County,Texas,48,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Archer County,Texas,48,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0
Armstrong County,Texas,48,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atascosa County,Texas,48,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin County,Texas,48,15,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Bailey County,Texas,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bandera County,Texas,48,19,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bastrop County,Texas,48,21,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Baylor County,Texas,48,23,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bee County,Texas,48,25,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Bell County,Texas,48,27,0,1,2,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,3
Bexar County,Texas,48,29,0,0,4,6,3,0,1,0,1,0,2,0,1,0,7,5,4,2,0,1
Blanco County,Texas,48,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borden County,Texas,48,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosque County,Texas,48,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Bowie County,Texas,48,37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
Brazoria County,Texas,48,39,0,0,0,0,1,0,1,0,0,0,0,1,2,1,2,1,0,1,0,0
Brazos County,Texas,48,41,0,2,0,0,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0
Brewster County,Texas,48,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Briscoe County,Texas,48,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks County,Texas,48,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown County,Texas,48,49,0,1,1,1,1,1,2,4,23,1,3,5,3,0,0,0,0,0,0,0
Burleson County,Texas,48,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnet County,Texas,48,53,0,1,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
Caldwell County,Texas,48,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Calhoun County,Texas,48,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callahan County,Texas,48,59,0,0,1,0,0,0,0,1,6,1,0,0,1,0,0,0,0,0,0,0
Cameron County,Texas,48,61,0,1,0,1,2,1,0,1,2,0,0,1,0,0,0,1,0,1,1,0
Camp County,Texas,48,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carson County,Texas,48,65,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cass County,Texas,48,67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Castro County,Texas,48,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chambers County,Texas,48,71,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
Cherokee County,Texas,48,73,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Childress County,Texas,48,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Clay County,Texas,48,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cochran County,Texas,48,79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Coke County,Texas,48,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Coleman County,Texas,48,83,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0
